เลขทะเบียนนิติบุคคล,วันที่จดทะเบียนจัดตั้ง,ทุนจดทะเบียน,ประเภทธุรกิจตอนจดทะเบียน,รายได้รวม,กำไรสุทธิ,ค่ามัธยฐานของรายได้รวม,ค่ามัธยฐานของกำไรสุทธิ
605559000943,30 มิ.ย. 2559,"1,000,000.00 บาท",การขายปลีกสินค้าอื่นๆในร้านค้าทั่วไป,31.02%,-14.25%,"1,641,704.13","25,227.15"
503548003562,28 มิ.ย. 2548,"200,000.00 บาท",การผลิตเครื่องดื่มกาแฟ ชาและชาชงสมุนไพรพร้อมดื่ม,-54.80%,"-2,041.79%","1,368,825.82","-4,750.00"
505554002892,18 พ.ค. 2554,"120,000,000.00 บาท",การผลิตผลิตภัณฑ์อื่น ๆ ที่ได้จากการกลั่นปิโตรเลียมซึ่งมิได้ จัดประเภทไว้ในที่อื่น,21.01%,1.38%,"2,067,129,007.50","87,410,437.55"
515542000113,14 ก.ย. 2542,"100,000,000.00 บาท",การผลิตอุปกรณ์ไฟฟ้าอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น การผลิตเครื่องจักรและเครื่องมือซึ่งมิได้จัดประเภทไว้ในที่อื่น,-2.03%,-36.58%,"914,402,580.00","29,972,551.78"
835521000103,08 มิ.ย. 2521,"20,000,000.00 บาท",การผลิตน้ำมันพืชชนิดอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,1.86%,-36.72%,"206,058,425.25","-5,000.00"
565539000175,18 ก.ย. 2539,"5,000,000.00 บาท",การขายส่งวัตถุดิบอื่นๆทางการเกษตรซึ่งมิได้จัดประเภทไว้ในที่อื่น,-1.34%,-428.22%,"1,989,634.98","8,389.64"
515546000207,16 มิ.ย. 2546,"10,000,000.00 บาท",การผลิตส่วนประกอบอิเล็กทรอนิกส์อื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,13.07%,-117.37%,"6,723,576.32","45,020.19"
505551002107,26 พ.ค. 2551,"20,000,000.00 บาท",การเลี้ยงโคนมและโคเนื้อ,-9.40%,-67.39%,"139,348,739.54","1,144,425.54"
107537000513,08 ก.พ. 2537,"381,145,725.00 บาท",การผลิตผลไม้และผักแช่แข็ง,-6.62%,-64.33%,"889,044,358.38","42,685,328.21"
505535003561,02 พ.ย. 2535,"44,500,000.00 บาท",การขายส่งผลิตภัณฑ์อาหารอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,17.00%,18.09%,"591,689,449.20","7,847,431.80"
